451	17世紀初め	日本	近世	A	五街道の整備が進む	東海道・中山道など江戸を起点とする主要街道が整えられ、宿場や交通網が発達した。	五街道・宿場・交通
452	17世紀ごろ	日本	近世	A	江戸・大坂・京都の三都が発達する	政治の江戸、商業の大坂、伝統文化と手工業の京都が大都市として発展した。	三都・江戸・大坂・京都
453	17〜18世紀ごろ	日本	近世	A	商品作物の栽培と農村の商業化が進む	綿・菜種・藍など販売を目的とする商品作物の栽培が広がり、農村も貨幣経済に深く組み込まれた。	商品作物・農村・貨幣経済
454	18世紀ごろ	日本	近世	A	寺子屋・藩校が広がる	寺子屋では庶民が読み書き・そろばんを学び、藩校では武士の教育が行われた。	寺子屋・藩校・教育
455	18世紀後半	日本	近世	B	出版業・貸本屋が発達する	木版印刷による出版が盛んになり、貸本屋を通して庶民も多くの本を読むようになった。	出版・貸本屋・庶民文化
456	1871年	日本	近代	A	近代郵便制度が始まる	前島密らの働きで郵便制度が整えられ、全国で手紙を迅速に送る仕組みが発達した。	郵便・前島密・文明開化
457	1873年	日本	近代	B	太陽暦が採用される	明治政府は暦を太陰太陽暦から太陽暦へ改め、西洋式の時間制度を導入した。	太陽暦・文明開化・生活
458	1901年	日本	近代	A	田中正造が足尾鉱毒問題を訴える	足尾銅山の鉱毒による被害を受け、田中正造は住民救済と公害対策を求めた。	田中正造・足尾鉱毒事件・公害
459	1911年	日本	近代	A	女性文芸誌『青鞜』が創刊される	平塚らいてうらが女性の自立や生き方を問い、女性の社会的地位を考える議論を広げた。	青鞜・平塚らいてう・女性運動
460	1920年	日本	近代	A	新婦人協会が結成される	平塚らいてう・市川房枝らが女性の政治参加や権利拡大を求めて活動した。	新婦人協会・市川房枝・女性運動
461	1920年	日本	近代	B	日本で第1回メーデーが行われる	労働者が賃金・労働時間・権利改善などを求めて集会を開き、労働運動が広がった。	メーデー・労働運動・大正デモクラシー
462	1925年	日本	近代	A	ラジオ放送が始まる	東京・大阪・名古屋などでラジオ放送が始まり、ニュースや娯楽が家庭へ届くようになった。	ラジオ・マスメディア・大衆文化
463	1947年	日本	現代	A	労働基準法が制定・施行される	労働時間・休日・賃金など労働条件の最低基準を定め、戦後の労働者保護を進めた。	労働基準法・労働者・戦後改革
464	1953年	日本	現代	B	テレビ本放送が始まる	テレビ放送が始まり、高度経済成長期に家庭へ急速に普及して大衆文化を変えた。	テレビ・マスメディア・大衆文化
465	1961年	日本	現代	A	国民皆保険・国民皆年金の体制が整う	すべての国民が公的医療保険や年金制度に参加する社会保障体制が整えられた。	国民皆保険・国民皆年金・社会保障
466	1960年	日本	現代	A	所得倍増計画が打ち出される	池田勇人内閣は経済成長を進め、国民所得の増加を目指す政策を掲げた。	所得倍増計画・高度経済成長・池田勇人
467	1970年	日本	現代	A	公害国会で公害関係法が整備される	深刻化した公害に対応するため、国会で多数の公害関係法が改正・制定され規制が強化された。	公害国会・公害・環境政策
468	1997年	日本	現代	A	アイヌ文化振興法が制定される	アイヌの伝統文化の振興や理解促進を目的とする法律が制定され、旧土人保護法は廃止された。	アイヌ文化振興法・アイヌ民族・人権
469	12世紀ごろ	愛知・日本	中世	B	常滑焼の生産が盛んになる	知多半島の常滑では大規模な窯業が発達し、壺・甕などが広い地域へ流通した。	常滑焼・知多半島・窯業
470	13世紀ごろ	愛知・日本	中世	B	瀬戸で本格的な陶器生産が発達する	瀬戸では釉薬を用いた陶器生産が発達し、後に『せともの』の語源となるほど陶業が栄えた。	瀬戸焼・瀬戸・陶器
471	17世紀初め	愛知・日本	近世	B	有松で絞り染めが発達する	東海道沿いの有松で絞り染めが発達し、旅人向けの商品として広く知られるようになった。	有松絞り・東海道・伝統工芸
472	17世紀前半	愛知・日本	近世	B	名古屋城本丸御殿が整備される	尾張徳川家の居館として豪華な本丸御殿が整えられ、障壁画など近世武家文化を示した。	名古屋城・本丸御殿・尾張徳川家
473	1904年	愛知・日本	近代	B	日本陶器が名古屋で設立される	日本陶器（後のノリタケカンパニーリミテド）が設立され、洋食器の輸出産業が発展した。	日本陶器・ノリタケ・名古屋
474	1935年	愛知・日本	近代	B	徳川美術館が名古屋に開館する	尾張徳川家に伝来した大名道具や国宝『源氏物語絵巻』などを収蔵する美術館が開館した。	徳川美術館・源氏物語絵巻・名古屋
475	1876年	日本	近代	A	秩禄処分で華族・士族の家禄が整理される	明治政府は金禄公債を交付して家禄・賞典禄の支給を打ち切り、旧武士の特権を制度上整理した。	秩禄処分・士族・明治政府
476	1882年	日本	近代	A	日本銀行が開業する	中央銀行として日本銀行が開業し、紙幣発行や金融制度の整備が進んだ。	日本銀行・中央銀行・金融
477	1886年	日本	近代	A	学校令が公布され近代学校制度が再編される	小学校令・中学校令・帝国大学令・師範学校令などが公布され、学校制度が体系的に再編された。	学校令・森有礼・教育
478	1890年	日本	近代	A	第1回衆議院議員総選挙が行われる	大日本帝国憲法のもとで初の衆議院議員総選挙が行われたが、選挙権は一定額以上の直接国税を納める成年男子に限られていた。	衆議院議員総選挙・制限選挙・帝国議会
479	1897年	日本	近代	B	貨幣法が制定され金本位制が確立する	日清戦争の賠償金などを背景に貨幣法が制定され、日本は金本位制を採用して国際金融との結び付きを強めた。	貨幣法・金本位制・日清戦争
480	1900年	日本	近代	A	治安警察法が制定される	労働運動や政治運動を取り締まる治安警察法が制定され、女性の政治活動にも強い制限が加えられた。	治安警察法・労働運動・女性運動
481	1911年	日本	近代	A	工場法が公布される	工場労働者、とくに女性や年少者の労働時間などを一定範囲で規制する工場法が公布され、1916年に施行された。	工場法・労働者保護・産業革命
482	1919年	欧米・世界	近代	B	国際労働機関（ILO）が設立される	第一次世界大戦後、労働条件の改善と社会正義を国際的に進めるため国際労働機関が設立された。	ILO・労働・ベルサイユ体制
483	1924年	日本	近代	A	第二次護憲運動が起こる	清浦奎吾内閣に反対して護憲三派が憲政擁護を掲げ、選挙後に加藤高明内閣が成立した。	第二次護憲運動・護憲三派・加藤高明
484	1930〜1931年ごろ	日本	近代	A	昭和恐慌が深刻化する	世界恐慌の影響と金輸出解禁によるデフレが重なり、企業倒産や農村不況が深刻化した。	昭和恐慌・世界恐慌・金輸出解禁
485	1949年	日本	現代	A	ドッジ・ラインが実施される	インフレ抑制と財政安定を目的に均衡予算などの緊縮策が進められ、1ドル360円の単一為替レートも設定された。	ドッジライン・1ドル360円・戦後復興
486	1949年	日本	現代	B	シャウプ勧告が出される	アメリカのシャウプを団長とする使節団が日本の税制改革を勧告し、直接税中心の戦後税制整備に大きな影響を与えた。	シャウプ勧告・税制・戦後改革
487	1950年代前半	日本	現代	A	朝鮮特需で日本の経済復興が加速する	朝鮮戦争に伴う米軍などからの物資・サービス需要が日本企業への特需となり、戦後経済の復興を後押しした。	朝鮮特需・朝鮮戦争・戦後復興
488	1964年	日本	現代	A	日本がOECDに加盟する	日本が経済協力開発機構（OECD）に加盟し、先進工業国の国際経済協力へ本格的に参加した。	OECD・国際経済・高度経済成長
489	1967年	日本	現代	A	非核三原則が表明される	佐藤栄作首相が核兵器を『持たず、作らず、持ち込ませず』とする非核三原則を国会で表明した。	非核三原則・核兵器・安全保障
490	1976年	日本	現代	B	日本が核拡散防止条約（NPT）を批准する	日本は核兵器の拡散防止と原子力の平和利用を柱とする核拡散防止条約を批准した。	NPT・核不拡散・国際条約
491	1985年	欧米・世界	現代	A	プラザ合意が成立する	主要5か国がドル高是正へ協調することで合意し、その後の急速な円高は日本経済と企業の海外展開に大きな影響を与えた。	プラザ合意・円高・国際金融
492	1986〜1991年ごろ	日本	現代	A	バブル経済が拡大する	低金利や資産価格上昇を背景に株価・地価が急上昇し、のちのバブル崩壊と長期停滞につながった。	バブル経済・株価・地価
493	1989年	日本	現代	A	消費税が導入される	税率3％の消費税が導入され、所得課税だけでなく消費にも広く負担を求める税体系へ変化した。	消費税・税制・平成
494	1992年	日本	現代	A	PKO協力法が制定される	国連平和維持活動などへの人的協力の枠組みを定め、自衛隊の海外での国際平和協力活動につながった。	PKO協力法・国連PKO・国際貢献
495	1993年	日本	現代	A	環境基本法が制定される	公害対策に加えて地球環境問題や自然環境保全まで含む環境政策の基本的な枠組みが整えられた。	環境基本法・環境政策・公害
496	1993年	日本	現代	A	55年体制が崩れ細川連立内閣が成立する	衆議院選挙後に自由民主党が政権を離れ、非自民の連立による細川護熙内閣が成立して55年体制が大きく転換した。	55年体制・細川護熙・政権交代
497	1997年	日本・世界	現代	A	京都議定書が採択される	京都で開かれたCOP3で、先進国の温室効果ガス削減目標を定める京都議定書が採択された。	京都議定書・COP3・地球温暖化
498	1999年	日本	現代	A	男女共同参画社会基本法が制定される	男女が社会の対等な構成員としてあらゆる分野に参画できる社会を目指す基本法が制定された。	男女共同参画社会基本法・男女平等・人権
499	2015年	欧米・世界	現代	A	持続可能な開発目標（SDGs）が採択される	国連で2030年までの持続可能な社会を目指す17の目標が採択され、貧困・教育・環境などを統合的に扱う国際目標となった。	SDGs・国際連合・持続可能な開発
500	2015年	欧米・世界	現代	A	パリ協定が採択される	COP21で、すべての国が温室効果ガス削減に取り組む国際的な気候変動の枠組みとしてパリ協定が採択された。	パリ協定・COP21・気候変動
