501	紀元前3000年ごろ	西アジア・世界	古代以前	A	シュメールで楔形文字が広く用いられる
502	紀元前27世紀ごろ	西アジア・世界	古代以前	A	エジプトでピラミッド建設が盛んになる
503	紀元前2500年ごろ	南アジア	古代以前	B	インダス文明で排水設備を備えた都市が発達する
504	紀元前2000年ごろ	欧米・世界	古代以前	B	クレタ文明が東地中海で栄える
505	紀元前16世紀ごろ	欧米・世界	古代以前	B	ミケーネ文明がギリシャ本土で栄える
506	紀元前1500年ごろ	南アジア	古代以前	A	アーリア人がインド北部へ進出する
507	紀元前13世紀ごろ	西アジア・世界	古代以前	A	フェニキア人が地中海交易を広げる
508	紀元前12世紀ごろ	西アジア・世界	古代以前	A	鉄器が西アジアから各地へ広がる
509	紀元前1000年ごろ	西アジア・世界	古代以前	B	ヘブライ人の王国が成立する
510	紀元前8世紀ごろ	欧米・世界	古代以前	B	ホメロスの叙事詩が成立する
511	紀元前8世紀ごろ	欧米・世界	古代以前	A	ギリシャ人が地中海沿岸に植民市を建設する
512	紀元前7世紀ごろ	西アジア・世界	古代以前	B	リディアで鋳造貨幣が使われ始める
513	紀元前594年	欧米・世界	古代以前	B	ソロンがアテネで改革を行う
514	紀元前508年ごろ	欧米・世界	古代以前	A	クレイステネスがアテネ民主政の基礎を築く
515	紀元前490年	欧米・世界	古代以前	B	マラトンの戦いが起こる
516	紀元前480年	欧米・世界	古代以前	A	サラミスの海戦が起こる
517	紀元前5世紀半ば	欧米・世界	古代以前	A	ペリクレス時代にアテネ民主政が発展する
518	紀元前447年ごろ	欧米・世界	古代以前	B	パルテノン神殿の建設が始まる
519	紀元前431年	欧米・世界	古代以前	A	ペロポネソス戦争が始まる
520	紀元前399年	欧米・世界	古代以前	B	ソクラテスが処刑される
521	紀元前387年ごろ	欧米・世界	古代以前	B	プラトンがアカデメイアを開く
522	紀元前335年ごろ	欧米・世界	古代以前	B	アリストテレスがリュケイオンを開く
523	紀元前323年	欧米・世界	古代以前	A	アレクサンドロス大王が死去し帝国が分裂へ向かう
524	紀元前3世紀ごろ	西アジア・世界	古代以前	B	アレクサンドリアが学術都市として栄える
525	紀元前264年	欧米・世界	古代以前	A	第1次ポエニ戦争が始まる
526	紀元前218年	欧米・世界	古代以前	B	ハンニバルがアルプスを越えてローマへ侵攻する
527	紀元前146年	欧米・世界	古代以前	A	ローマがカルタゴを滅ぼす
528	紀元前133年	欧米・世界	古代以前	B	グラックス兄弟の改革運動が始まる
