id=31371885752 status=pending conclusion=None head=7b8e77ac34e690da0a055091418b451958739683 event=push created=2026-08-10T08:50:47Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371885752
id=31371865398 status=completed conclusion=cancelled head=e6e3cc487f48e16fbfc820375097496cefe3f52f event=push created=2026-08-10T08:50:31Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371865398
id=31371551415 status=completed conclusion=cancelled head=dea2bea8bd5eed9b29d5276b4bc363e3ec0f0083 event=push created=2026-08-10T08:46:17Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371551415
id=31371460477 status=completed conclusion=success head=57edebc998a05a25ac8fb6474dde0d6c2c3184e2 event=push created=2026-08-10T08:45:09Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371460477
id=31371324987 status=completed conclusion=success head=fb15e1bbcd7b23dc9c35db4d4cb7ff358878e876 event=push created=2026-08-10T08:43:20Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371324987
id=31371300662 status=completed conclusion=cancelled head=a4b7107afc429e9e5851b8a1a874b8ea2b7c9194 event=push created=2026-08-10T08:43:01Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31371300662
id=31354990504 status=completed conclusion=success head=4378bbf3810707c3ac9efd40bcbbefb2e5662bb9 event=push created=2026-08-10T04:17:01Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354990504
id=31354932178 status=completed conclusion=cancelled head=5dd028c4fb6e1c22dab568417fdd0d987f011ddc event=push created=2026-08-10T04:15:51Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354932178
id=31354924873 status=completed conclusion=cancelled head=44e5b952efbf4d2c1a8fbb7a0ac9b35c67a860ab event=push created=2026-08-10T04:15:42Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354924873
id=31354870778 status=completed conclusion=cancelled head=d832b775ba916bf7ffd79f14175a4243a451b853 event=push created=2026-08-10T04:14:41Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354870778
id=31354842705 status=completed conclusion=failure head=1333c9f86fa92141a1f01f307c6223cd82472d17 event=push created=2026-08-10T04:14:09Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354842705
id=31354830802 status=completed conclusion=cancelled head=a7a77288024c4ddfa3f0223f39fcf5f2cdcf0384 event=push created=2026-08-10T04:13:54Z url=https://github.com/shingo20110505-oss/-asahigaoka-aa-learning-os/actions/runs/31354830802
